occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.4,0.347,0.347,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.0773,0,0
0.4,0.42,0.42,0.0,0.0,0.0,0.0,0.507,0.676,0.676,0.0,0.0,0.309,0,0
0.4,0.42,0.42,0.0,0.0,0.0,0.0,0.507,0.676,0.676,0.0,0.0,0.0773,0,0
0.4,0.42,0.42,0.0,0.0,0.0,0.0,0.507,0.676,0.676,0.0,0.0,0.0773,0,0
0.6,0.606,0.606,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.0773,0,0
0.6,0.616,0.616,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.0,0.0,0.0773,0,0
0.6,0.616,0.616,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.0,0.0,0.0773,0,0
0.6,0.616,0.616,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.0,0.0,0.0,0,0
0.6,0.616,0.616,0.0,0.533,0.0,0.0,0.665,0.748,0.748,0.0,0.0,0.0773,0,0
0.8,0.673,0.673,0.0,1.0,0.0,0.0,0.846,0.797,0.797,0.0,0.0,0.0,0,0
0.8,0.673,0.673,0.0,1.0,0.0,0.0,0.846,0.797,0.797,0.0,0.0,0.0,0,0
0.8,0.673,0.673,0.0,1.0,0.0,0.0,0.846,0.797,0.797,0.414,0.0,0.0773,0,0
0.8,0.673,0.673,0.0,1.0,0.0,0.0,0.846,0.797,0.797,0.75,0.0,0.0,0,0
0.8,0.51,0.51,0.0,0.867,0.0,0.0,0.823,0.767,0.767,0.391,0.0,0.0773,0,0
0.8,0.51,0.51,0.0,0.0,0.0,0.0,0.823,0.767,0.767,0.0,0.0,0.232,0,0
0.8,0.51,0.51,0.0,0.0,0.0,0.0,0.823,0.767,0.767,0.246,0.0,0.129,0,0
0.8,0.51,0.51,0.0,0.0,0.0,0.0,0.823,0.767,0.767,0.703,0.0,0.0,0,0
0.8,0.442,0.442,0.0,0.0,0.0,0.0,0.712,0.693,0.693,0.348,0.0,0.186,0,0
0.8,0.442,0.442,0.0,0.0,0.0,0.0,0.712,0.693,0.693,0.156,0.0,0.155,0,0
0.8,0.442,0.442,0.0,0.0,0.0,0.0,0.712,0.693,0.693,0.0,0.0,0.0,0,0
1.0,0.344,0.344,0.0,0.0,0.0,0.0,0.598,0.636,0.636,0.0,0.0,0.0,0,0
1.0,0.0895,0.0895,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
1.0,0.0895,0.0895,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
1.0,0.0895,0.0895,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
1.0,0.0895,0.0895,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
